id,url,multicast_address,multicast_port,camera_username,camera_password,camera_number,camera_name,camera_location,image_regions,matching_threshold,focus_value_threshold,light_level_threshold,creation_date,last_check_date,snooze,trigger_new_reference_image,freeze_check,trigger_new_reference_image_date,reference_image_version
17838,rtsp://10.200.205.80/h266,None,0,,,9,Demo FE (condensation issues),POD_1A - 428 cams,[],1.00,0.60,0.50,2025-04-19 04:54:02,2025-04-19 04:54:02,False,False,False,2025-04-19 04:54:02,1
10002,rtsp://10.200.104.32/h266,None,0,,,810705,BJ8 10705 HD,POD_B3K,"[3, 11, 12, 15, 18, 19, 26, 34, 42, 46, 55, 56, 59, 61, 62, 63]",0.50,0.66,0.54,2025-04-19 04:52:55,2025-04-19 04:52:55,False,False,False,2025-04-19 04:52:55,1
12551,rtsp://10.202.194.50/h266,None,0,,,549216,T2 L54 Main/Fill Bank OV 216,HTL_54C,"[2, 3, 4, 7, 8, 11, 15, 16, 19, 23, 24, 27, 32, 35, 40, 41]",0.50,0.68,0.63,2025-04-19 04:53:10,2025-04-19 04:53:10,False,False,False,2025-04-19 04:53:10,1
13718,rtsp://10.200.108.22/h266,None,0,,,105669,Pit 105 OV 669,POD_B3K,"[1, 2, 7, 8, 9, 16, 41, 43, 44, 49, 50, 56, 57, 58, 63, 64]",0.70,0.70,0.55,2025-04-19 04:53:19,2025-04-19 04:53:19,False,False,False,2025-04-19 04:53:19,1
16597,rtsp://10.200.22.80/h266,None,0,,,1703,L1 Theatre PSS Ent OV 2,POD_1C,"['6', '14']",0.64,0.70,0.59,2025-04-19 04:53:47,2025-04-19 04:53:47,False,False,False,2025-04-19 04:53:47,1
16373,rtsp://10.200.35.66/h266,None,0,,,2572,L2 Corridor OV 72,POD_2B,"[2, 3, 6, 7, 8, 9, 14, 15, 16, 17, 23, 24, 25, 32, 33]",0.62,0.63,0.67,2025-04-19 04:53:44,2025-04-19 04:53:44,False,False,False,2025-04-19 04:53:44,1
9211,rtsp://10.202.199.42/h266,None,0,,,986669,Pit 986 OV 669,HTL_54C,"[1, 2, 8, 9, 25, 33, 42, 49, 50, 54, 55, 57, 58, 60, 61, 64]",0.91,0.59,0.52,2025-04-19 04:52:52,2025-04-19 04:52:52,False,False,False,2025-04-19 04:52:52,1
15152,rtsp://10.200.226.32/h266,None,0,,,9042,L2 Cage FW 42,POD_2A,"[1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 15, 16, 18, 24, 37]",0.63,0.71,0.51,2025-04-19 04:53:32,2025-04-19 04:53:32,False,False,False,2025-04-19 04:53:32,1
13720,rtsp://10.200.108.18/h266,None,0,,,105667,Pit 105 OV 667,POD_B3K,"[1, 7, 8, 15, 26, 31, 32, 33, 47, 48, 52, 54, 55, 56, 63, 64]",0.60,0.58,0.59,2025-04-19 04:53:19,2025-04-19 04:53:19,False,False,False,2025-04-19 04:53:19,1
17194,rtsp://10.200.229.30/h266,None,0,,,290138,L2 Apex Gd Cage OV 138,POD_2G - 357 cams,"[1, 2, 3, 5, 6, 14, 38, 46, 47, 49, 54, 55, 57, 60, 61, 62]",0.63,0.70,0.58,2025-04-19 04:53:54,2025-04-19 04:53:54,False,False,False,2025-04-19 04:53:54,1
