url,image,hour,light_level,focus_value,creation_date,version
17838,base_images/17838/0001-01.jpg,01,0.50,0.50,2025-04-20 07:16:49.319624+00:00,1
17838,base_images//17838/0001-02.jpg,02,0.50,0.50,2025-04-20 07:17:06.362056+00:00,1
17838,base_images//17838/0001-03.jpg,03,0.50,0.50,2025-04-20 07:17:18.209000+00:00,1
17838,base_images//17838/0001-04.jpg,04,0.50,0.50,2025-04-20 07:17:31.351402+00:00,1
17838,base_images//17838/0001-05.jpg,05,0.50,0.50,2025-04-20 07:19:59.703182+00:00,1
17838,base_images//17838/0001-06.jpg,06,0.50,0.50,2025-04-20 07:19:59.708318+00:00,1
17838,base_images//17838/0001-07.jpg,07,0.50,0.50,2025-04-20 07:19:59.711471+00:00,1
17838,base_images//17838/0001-08.jpg,08,0.50,0.50,2025-04-20 07:19:59.714304+00:00,1
17838,base_images//17838/0001-09.jpg,09,0.50,0.50,2025-04-20 07:19:59.716384+00:00,1
17838,base_images//17838/0001-10.jpg,10,0.50,0.50,2025-04-20 07:19:59.718506+00:00,1
